Item,Feature Selected Number,Information Aquired Ratio Based Original ,Information Aquired Ratio Based concatenated ,,,,
1,8,63.50%,74.65%,,,,
2,9,68.20%,77.95%,,,,
3,12,77.80%,86.50%,,,,
4,13,87.00%,88.75%,,,,
5,15,84.60%,92.45%,,,,
6,16,86.50%,95.35%,,,,
10,20,92.20%,97.70%,,,,
11,29,98.90%,100.00%,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,28000
